Epoch,Score,Tetrominoes,Cleared Lines
492,21,23,0
493,21,23,0
494,19,21,0
495,11,13,0
496,14,16,0
497,15,17,0
498,33,25,1
499,21,23,0
500,17,19,0
501,24,26,0
502,17,19,0
503,13,15,0
504,19,21,0
505,26,28,0
506,20,22,0
507,32,24,1
508,13,15,0
509,15,17,0
510,14,16,0
511,14,16,0
512,17,19,0
513,16,18,0
514,24,26,0
515,23,25,0
516,26,28,0
517,16,18,0
518,21,23,0
519,19,21,0
520,15,17,0
521,26,28,0
522,28,30,0
523,28,20,1
524,12,14,0
525,26,28,0
526,32,34,0
527,26,28,0
528,15,17,0
529,16,18,0
530,37,29,1
531,33,25,1
532,26,28,0
533,24,26,0
534,19,21,0
535,23,25,0
536,18,20,0
537,15,17,0
538,20,22,0
539,19,21,0
540,11,13,0
541,18,20,0
542,22,24,0
543,25,27,0
544,14,16,0
545,17,19,0
546,17,19,0
547,9,11,0
548,16,18,0
549,23,25,0
550,20,22,0
551,22,24,0
552,22,24,0
553,24,26,0
554,43,35,1
555,22,24,0
556,24,26,0
557,13,15,0
558,12,14,0
559,21,23,0
560,20,22,0
561,19,21,0
562,21,23,0
563,24,26,0
564,25,27,0
565,19,21,0
566,18,20,0
567,18,20,0
568,32,24,1
569,21,23,0
570,20,22,0
571,19,21,0
572,24,26,0
573,17,19,0
574,23,25,0
575,20,22,0
576,18,20,0
577,24,26,0
578,23,25,0
579,24,26,0
580,14,16,0
581,44,26,2
582,15,17,0
583,19,21,0
584,35,27,1
585,15,17,0
586,25,27,0
587,23,25,0
588,16,18,0
589,22,24,0
590,18,20,0
591,22,24,0
592,15,17,0
593,21,23,0
594,22,24,0
595,17,19,0
596,24,26,0
597,20,22,0
598,23,25,0
599,16,18,0
600,12,14,0
601,19,21,0
602,33,25,1
603,27,29,0
604,26,28,0
605,22,24,0
606,21,23,0
607,21,23,0
608,24,26,0
609,22,24,0
610,21,23,0
611,28,30,0
612,24,26,0
613,23,25,0
614,18,20,0
615,28,30,0
616,18,20,0
617,20,22,0
618,22,24,0
619,18,20,0
620,23,25,0
621,24,26,0
622,22,24,0
623,88,40,5
624,17,19,0
625,19,21,0
626,20,22,0
627,13,15,0
628,27,29,0
629,21,23,0
630,29,31,0
631,16,18,0
632,23,25,0
633,20,22,0
634,20,22,0
635,23,25,0
636,21,23,0
637,24,26,0
638,14,16,0
639,19,21,0
640,23,25,0
641,12,14,0
642,24,26,0
643,26,28,0
644,18,20,0
645,20,22,0
646,39,31,1
647,20,22,0
648,39,31,1
649,26,28,0
650,27,19,1
651,28,30,0
652,14,16,0
653,24,26,0
654,16,18,0
655,17,19,0
656,38,30,1
657,18,20,0
658,30,32,0
659,23,25,0
660,23,25,0
661,22,24,0
662,19,21,0
663,21,23,0
664,21,23,0
665,20,22,0
666,20,22,0
667,26,28,0
668,38,30,1
669,20,22,0
670,17,19,0
671,16,18,0
672,19,21,0
673,21,23,0
674,20,22,0
675,25,27,0
676,20,22,0
677,24,26,0
678,26,28,0
679,18,20,0
680,19,21,0
681,13,15,0
682,20,22,0
683,15,17,0
684,13,15,0
685,25,27,0
686,19,21,0
687,42,34,1
688,27,29,0
689,25,27,0
690,13,15,0
691,16,18,0
692,51,33,2
693,17,19,0
694,22,24,0
695,17,19,0
696,34,26,1
697,22,24,0
698,24,26,0
699,26,28,0
700,21,23,0
701,22,24,0
702,17,19,0
703,20,22,0
704,18,20,0
705,19,21,0
706,40,32,1
707,34,26,1
708,11,13,0
709,20,22,0
710,20,22,0
711,24,26,0
712,20,22,0
713,20,22,0
714,24,26,0
715,20,22,0
716,30,22,1
717,23,25,0
718,19,21,0
719,18,20,0
720,24,26,0
721,49,31,2
722,12,14,0
723,20,22,0
724,22,24,0
725,16,18,0
726,21,23,0
727,22,24,0
728,26,28,0
729,24,26,0
730,29,21,1
731,23,25,0
732,13,15,0
733,26,28,0
734,32,34,0
735,23,25,0
736,21,23,0
737,34,26,1
738,24,26,0
739,21,23,0
740,23,25,0
741,51,33,2
742,23,25,0
743,20,22,0
744,27,29,0
745,20,22,0
746,23,25,0
747,20,22,0
748,23,25,0
749,20,22,0
750,19,21,0
751,25,27,0
752,26,28,0
753,20,22,0
754,29,31,0
755,39,31,1
756,20,22,0
757,25,27,0
758,27,29,0
759,39,31,1
760,26,28,0
761,22,24,0
762,23,25,0
763,19,21,0
764,24,26,0
765,22,24,0
766,18,20,0
767,48,30,2
768,32,24,1
769,34,26,1
770,36,28,1
771,34,26,1
772,34,26,1
773,21,23,0
774,21,23,0
775,18,20,0
776,31,23,1
777,21,23,0
778,36,28,1
779,35,27,1
780,35,27,1
781,31,23,1
782,16,18,0
783,18,20,0
784,47,29,2
785,23,25,0
786,22,24,0
787,29,21,1
788,49,31,2
789,17,19,0
790,23,25,0
791,38,30,1
792,25,27,0
793,32,24,1
794,31,33,0
795,18,20,0
796,21,23,0
797,68,30,2
798,23,25,0
799,15,17,0
800,19,21,0
801,34,26,1
802,26,28,0
803,49,31,2
804,21,23,0
805,19,21,0
806,13,15,0
807,26,28,0
808,36,28,1
809,33,25,1
810,38,30,1
811,24,26,0
812,24,26,0
813,19,21,0
814,19,21,0
815,19,21,0
816,35,27,1
817,46,28,2
818,21,23,0
819,35,27,1
820,20,22,0
821,33,25,1
822,26,28,0
823,29,31,0
824,25,27,0
825,29,31,0
826,91,33,4
